Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which archaeological site near Madurai revealed evidence of Sangam Age urban life?,Keezhadi,Adichanallur,Arikamedu,Kodumanal,Keezhadi
Which archaeological site is famous for urn burials in Tamil Nadu?,Adichanallur,Keezhadi,Puhar,Korkai,Adichanallur
Which archaeological site provided evidence of Roman trade in Tamil Nadu?,Arikamedu,Keezhadi,Adichanallur,Kodumanal,Arikamedu
Near which modern city is Arikamedu located?,Puducherry,Madurai,Trichy,Coimbatore,Puducherry
Which site is known for industrial and bead-making activities during the Sangam Age?,Kodumanal,Keezhadi,Adichanallur,Korkai,Kodumanal
Which excavation site proved the existence of a literate urban civilization in Tamil Nadu?,Keezhadi,Arikamedu,Kodumanal,Adichanallur,Keezhadi
Which script was commonly found in Sangam Age pottery inscriptions?,Tamil-Brahmi,Devanagari,Grantha,Kharosthi,Tamil-Brahmi
Which archaeological evidence confirmed overseas trade of the Sangam Tamils?,Roman coins,Chinese pagodas,Persian carpets,Mughal seals,Roman coins
Which site revealed gold ornaments iron tools and burial urns?,Adichanallur,Keezhadi,Korkai,Puhar,Adichanallur
Which ancient port city is now mostly submerged under the sea?,Poompuhar,Madurai,Kanchi,Korkai,Poompuhar
Which archaeological site yielded evidence of spinning and weaving activities?,Keezhadi,Arikamedu,Adichanallur,Korkai,Keezhadi
Which excavation site revealed brick structures and drainage systems?,Keezhadi,Kodumanal,Korkai,Adichanallur,Keezhadi
Which ancient Tamil port attracted Roman traders?,Muziris,Kanchi,Uraiyur,Madurai,Muziris
Which foreign civilization traded heavily with the Sangam Tamils?,Romans,Mongols,Japanese,Greeks only,Romans
Who described Muziris as the First Emporium of India?,Pliny the Elder,Herodotus,Megasthenes,Ptolemy,Pliny the Elder
Which Roman emperor had a temple built at Muziris?,Augustus,Nero,Trajan,Hadrian,Augustus
Which document records a trade agreement between Muziris and Alexandria?,Vienna Papyrus,Rosetta Stone,Pugalur inscription,Hathigumpha inscription,Vienna Papyrus
Which Egyptian Pharaoh's mummy contained black pepper from Tamilakam?,Ramses II,Tutankhamun,Akhenaten,Khufu,Ramses II
Who mentioned Madurai in the Arthasastra?,Chanakya,Megasthenes,Pliny,Ptolemy,Chanakya
Which Greek ambassador wrote about the Pandya kingdom?,Megasthenes,Herodotus,Pliny,Strabo,Megasthenes
Who authored the work Natural History mentioning Tamil trade?,Pliny the Elder,Ptolemy,Herodotus,Megasthenes,Pliny the Elder
Which foreign traveler praised Kanchi as a great educational center?,Hieun Tsang,Fa-Hien,Marco Polo,Ibn Battuta,Hieun Tsang
Which Chinese traveler visited Kanchi for studies?,Hieun Tsang,Itsing,Fa-Hien,Xuanzang,Hieun Tsang
Which geographer wrote about ports of South India in Geographia?,Ptolemy,Pliny,Strabo,Herodotus,Ptolemy
Which Roman writer complained about Roman wealth flowing to India?,Pliny the Elder,Herodotus,Megasthenes,Strabo,Pliny the Elder
Which archaeological evidence proves Roman trade in Tamilakam?,Roman amphorae,Chinese silk,Mughal paintings,Vedic manuscripts,Roman amphorae
Which ancient Tamil port was famous for pearl exports?,Korkai,Uraiyur,Kanchi,Vanchi,Korkai
Which Sangam Age site produced evidence of bead manufacturing?,Kodumanal,Adichanallur,Keezhadi,Korkai,Kodumanal
Which archaeological site revealed graffiti marks similar to Indus symbols?,Keezhadi,Arikamedu,Kodumanal,Korkai,Keezhadi
Which period followed the Sangam Age in Tamil history?,Kalabhra period,Pallava period,Imperial Chola period,Vijayanagara period,Kalabhra period
For approximately how many centuries did the Kalabhras dominate Tamilakam?,Two and a half,Five,Seven,One,Two and a half
Why was the Kalabhra period once called the Dark Age?,Lack of inscriptions and monuments,Foreign invasion,Famine,Religious wars,Lack of inscriptions and monuments
Which religions flourished during the Kalabhra rule?,Jainism and Buddhism,Shaivism and Vaishnavism,Islam and Christianity,Vedic religion only,Jainism and Buddhism
Which literary work belongs to the Kalabhra period?,Seevaka Chinthamani,Pattinappaalai,Pathitrupathu,Maduraikkanji,Seevaka Chinthamani
Which group of works was largely compiled during the Kalabhra age?,Pathinen Keezhkanakku,Ettuthogai,Pathupattu,Silappathikaram,Pathinen Keezhkanakku
Which text is considered a source for Kalabhra history?,Tamil Navalar Charithai,Purananuru,Paripadal,Pattinappaalai,Tamil Navalar Charithai
Which religion received royal patronage during the Kalabhra age?,Jainism,Brahmanism,Shaivism only,Vaishnavism only,Jainism
Which dynasty revived Tamil country after Kalabhra rule?,Pallavas and Pandyas,Cholas and Cheras,Delhi Sultanate,Vijayanagara,Pallavas and Pandyas
Which archaeological site showed evidence of literacy among common people?,Keezhadi,Adichanallur,Korkai,Arikamedu,Keezhadi
